Lineups,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,PACE,PIE
".J. Crowder, .D. Booker, .C. Payne, .M. Bridges, .D. Ayton",PHX,19,138,122.1,109.2,13.0,65.5,2.58,22.0,24.8,70.3,48.8,0.1,59.4,62.3,104.77,54.8
".M. Plumlee, .T. Rozier, .M. Bridges, .C. Martin, .L. Ball",CHA,27,136,123.4,109.3,14.1,71.1,2.53,22.4,30.4,73.8,52.5,0.1,61.0,63.1,98.42,56.5
".G. Temple, .J. Valanciunas, .J. Hart, .D. Graham, .N. Alexander-Walker",NOP,20,135,100.0,109.4,-9.4,71.2,1.45,18.9,26.7,67.9,48.0,0.2,53.2,56.0,99.42,45.5
".C. McCollum, .R. Covington, .J. Nurkic, .N. Powell, .A. Simons",POR,10,131,100.7,116.5,-15.7,47.0,1.42,13.3,24.0,77.3,49.3,0.1,49.6,52.5,98.61,40.3
".C. Wood, .K. Porter Jr., .G. Mathews, .J. Green, .J. Tate",HOU,17,129,106.5,111.4,-4.9,62.3,1.22,17.6,26.8,68.3,47.8,0.2,56.3,58.9,103.48,46.2
".C. Paul, .J. McGee, .J. Crowder, .D. Booker, .M. Bridges",PHX,18,127,112.2,93.2,19.0,63.5,2.58,21.3,20.7,74.1,50.0,0.1,57.0,58.6,103.75,62.9
".S. Gilgeous-Alexander, .L. Dort, .J. Robinson-Earl, .J. Giddey, .A. Wiggins",OKC,12,126,112.3,121.5,-9.2,60.7,1.89,18.4,26.0,71.1,47.6,0.1,54.5,57.7,102.63,44.5
".A. Rivers, .W. Barton, .A. Gordon, .N. Jokic, .M. Morris",DEN,18,125,117.6,102.7,14.9,61.3,2.62,18.8,25.6,80.3,52.6,0.1,55.6,59.7,99.29,56.7
".C. Capela, .B. Bogdanovic, .K. Huerter, .T. Young, .D. Hunter",ATL,20,125,113.1,106.1,7.0,56.2,2.19,16.9,19.0,70.6,45.8,0.1,56.7,60.3,104.67,50.1
".H. Whiteside, .B. Bogdanovic, .J. Ingles, .R. O'Neale, .D. Mitchell",UTA,24,125,109.5,110.6,-1.2,55.6,1.36,16.7,29.4,67.5,48.8,0.2,55.4,59.3,100.96,50.1
".B. Beal, .K. Caldwell-Pope, .S. Dinwiddie, .M. Harrell, .K. Kuzma",WAS,20,121,103.0,109.4,-6.4,66.0,1.55,17.0,28.1,75.0,50.4,0.2,52.6,57.0,104.12,48.3
".C. Joseph, .H. Diallo, .S. Bey, .I. Stewart, .C. Cunningham",DET,11,121,96.4,120.5,-24.1,68.5,1.97,17.7,27.7,67.5,45.3,0.1,44.5,47.7,100.07,34.4
".K. Durant, .K. Irving, .A. Drummond, .S. Curry, .B. Brown",BKN,8,121,117.3,117.9,-0.5,57.4,2.2,18.4,29.5,66.7,47.9,0.1,55.0,57.1,100.3,49.5
".T. Satoransky, .K. Caldwell-Pope, .K. Porzingis, .R. Hachimura, .C. Kispert",WAS,11,121,116.9,109.6,7.4,80.6,3.22,24.6,11.5,76.6,47.4,0.1,60.8,63.8,100.54,56.9
".M. Conley, .R. Gobert, .J. Clarkson, .J. Ingles, .E. Paschall",UTA,14,119,111.5,94.7,16.8,62.6,1.59,18.1,33.6,78.7,57.2,0.2,57.6,59.4,98.72,57.8
".S. Adams, .K. Anderson, .D. Melton, .J. Morant, .Z. Williams",MEM,23,119,112.7,91.7,21.0,60.3,1.7,18.3,37.7,79.7,59.1,0.2,55.9,57.5,111.51,61.5
".L. Williams, .D. Gallinari, .B. Bogdanovic, .D. Wright, .O. Okongwu",ATL,13,118,119.5,97.2,22.3,62.3,3.47,20.2,21.0,65.3,47.1,0.1,58.1,61.6,99.2,65.4
".C. Paul, .J. Crowder, .M. Bridges, .L. Shamet, .D. Ayton",PHX,18,116,107.2,99.6,7.6,71.4,2.41,21.0,13.2,75.4,46.0,0.1,55.0,59.4,102.34,57.5
".P. Tucker, .J. Butler, .B. Adebayo, .D. Robinson, .T. Herro",MIA,28,114,107.4,100.4,7.0,58.1,1.67,16.7,21.2,68.4,46.2,0.1,51.9,57.6,97.88,52.9
