Lineups,TEAM,MIN,GP,OffRtg,DefRtg,NetRtg
"Taj Gibson, Alec Burks, Evan Fournier, Julius Randle, RJ Barrett",NYK,63,13,129.7,113.5,16.2
"Taj Gibson, Alec Burks, Quentin Grimes, Obi Toppin, Immanuel Quickley",NYK,63,12,107.0,94.0,12.9
"DeMar DeRozan, Nikola Vucevic, Zach LaVine, Coby White, Ayo Dosunmu",CHI,62,20,113.5,93.4,20.1
"Gordon Hayward, Mason Plumlee, Terry Rozier, Miles Bridges, Cody Martin",CHA,62,13,128.3,110.0,18.3
"John Collins, Kevin Huerter, Trae Young, De'Andre Hunter, Onyeka Okongwu",ATL,62,7,111.9,116.7,-4.8
"JaVale McGee, Devin Booker, Cameron Payne, Landry Shamet, Cameron Johnson",PHX,62,15,100.7,93.1,7.6
"Kyle Lowry, P.J. Tucker, Bam Adebayo, Duncan Robinson, Tyler Herro",MIA,62,7,110.1,99.2,10.9
"LeBron James, Carmelo Anthony, Russell Westbrook, Malik Monk, Austin Reaves",LAL,62,14,108.3,112.8,-4.4
"Paul George, Eric Bledsoe, Monte Morris Sr., Reggie Jackson, Ivica Zubac",LAC,62,6,108.4,115.8,-7.4
"Al Horford, Marcus Smart, Jaylen Brown, Jayson Tatum, Grant Williams",BOS,61,15,106.5,120.1,-13.7
"Damian Lillard, Robert Covington, Jusuf Nurkic, Norman Powell, Anfernee Simons",POR,61,16,110.5,106.3,4.3
"Hassan Whiteside, Bogdan Bogdanovic, Royce O'Neale, Donovan Mitchell, Trent Forrest",UTA,61,12,129.4,108.0,21.4
"Jonas Valanciunas, CJ McCollum, Brandon Ingram, Devonte' Graham, Herbert Jones",NOP,60,9,116.1,120.8,-4.7
"Steven Adams, Kyle Anderson, De'Anthony Melton, Ja Morant, Desmond Bane",MEM,60,20,99.2,124.4,-25.2
